Indicator Code: CG1610
"Indicator Name: Ill-defined diseases"
Export date: 5/7/2024 4:55:25 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: R00-R94, R96-R99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BGR,Bulgaria,2014,All,Age_all,[All],3206.00000000,2.94258022,22.21729900,44.38022893,
EU,Europe,HRV,Croatia,1990,All,Age_all,[All],2697.00000000,5.16745861,43.76084027,56.44621180,
EU,Europe,HRV,Croatia,1991,All,Age_all,[All],2927.00000000,5.33812372,46.64922764,61.15626502,
EU,Europe,HRV,Croatia,1992,All,Age_all,[All],2741.00000000,5.29150579,43.72867379,57.31671616,
EU,Europe,HRV,Croatia,1993,All,Age_all,[All],2942.00000000,5.78609920,47.16425998,61.56486074,
EU,Europe,HRV,Croatia,1994,All,Age_all,[All],2893.00000000,5.84657047,46.92984386,60.56102156,
EU,Europe,HRV,Croatia,1995,All,Age_all,[All],2941.00000000,5.81961374,44.68551521,61.57872697,
EU,Europe,HRV,Croatia,1996,All,Age_all,[All],3316.00000000,6.54870053,55.86911911,73.79384013,
EU,Europe,HRV,Croatia,1997,All,Age_all,[All],3216.00000000,6.18890001,53.20411673,70.33505380,
EU,Europe,HRV,Croatia,1998,All,Age_all,[All],2295.00000000,4.38722257,38.01695003,50.98640363,
EU,Europe,HRV,Croatia,1999,All,Age_all,[All],1513.00000000,2.91224761,25.17771648,33.22499890,
EU,Europe,HRV,Croatia,2000,All,Age_all,[All],825.00000000,1.64192175,13.38898055,18.82959785,
EU,Europe,HRV,Croatia,2001,All,Age_all,[All],862.00000000,1.73958670,12.66578423,19.42552722,
EU,Europe,HRV,Croatia,2002,All,Age_all,[All],1063.00000000,2.10207835,16.08610835,23.92419878,
EU,Europe,HRV,Croatia,2003,All,Age_all,[All],781.00000000,1.48549691,12.40676236,17.58296186,
EU,Europe,HRV,Croatia,2004,All,Age_all,[All],747.00000000,1.50132647,10.31973382,16.82659819,
EU,Europe,HRV,Croatia,2005,All,Age_all,[All],648.00000000,1.25120680,9.22822547,14.58820076,
EU,Europe,HRV,Croatia,2006,All,Age_all,[All],512.00000000,1.01631665,6.83215893,11.53147439,
EU,Europe,HRV,Croatia,2007,All,Age_all,[All],533.00000000,1.01781656,6.90936791,12.01537788,
EU,Europe,HRV,Croatia,2008,All,Age_all,[All],551.00000000,1.05654733,6.79801250,12.42527920,
