Indicator Code: CG1110
"Indicator Name: Respiratory diseases"
Export date: 5/7/2024 5:14:26 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: J30-J98"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,HRV,Croatia,1993,All,Age_all,[All],1014.00000000,1.99425717,15.03425939,21.21916002,
EU,Europe,HRV,Croatia,1994,All,Age_all,[All],1120.00000000,2.26344934,16.72936095,23.44567720,
EU,Europe,HRV,Croatia,1995,All,Age_all,[All],1181.00000000,2.33694792,16.91271990,24.72780570,
EU,Europe,HRV,Croatia,1996,All,Age_all,[All],1074.00000000,2.12102062,16.90754956,23.90065872,
EU,Europe,HRV,Croatia,1997,All,Age_all,[All],1143.00000000,2.19959972,17.45664527,24.99781297,
EU,Europe,HRV,Croatia,1998,All,Age_all,[All],1079.00000000,2.06266368,17.07603638,23.97138541,
EU,Europe,HRV,Croatia,1999,All,Age_all,[All],1322.00000000,2.54460763,20.53164418,29.03069964,
EU,Europe,HRV,Croatia,2000,All,Age_all,[All],1154.00000000,2.29670023,18.14625580,26.33861323,
EU,Europe,HRV,Croatia,2001,All,Age_all,[All],1065.00000000,2.14925735,14.38796316,24.00021634,
EU,Europe,HRV,Croatia,2002,All,Age_all,[All],1100.00000000,2.17524570,14.25801013,24.75693194,
EU,Europe,HRV,Croatia,2003,All,Age_all,[All],1405.00000000,2.67237280,17.53722266,31.63132064,
EU,Europe,HRV,Croatia,2004,All,Age_all,[All],1346.00000000,2.70520138,16.07396007,30.31941253,
EU,Europe,HRV,Croatia,2005,All,Age_all,[All],1503.00000000,2.90210465,18.04775687,33.83652120,
EU,Europe,HRV,Croatia,2006,All,Age_all,[All],1296.00000000,2.57255151,15.14057307,29.18904456,
EU,Europe,HRV,Croatia,2007,All,Age_all,[All],1578.00000000,3.01334810,17.91028285,35.57273226,
EU,Europe,HRV,Croatia,2008,All,Age_all,[All],1416.00000000,2.71519242,15.57667573,31.93138901,
EU,Europe,HRV,Croatia,2009,All,Age_all,[All],1681.00000000,3.20715839,18.06294777,37.95372310,
EU,Europe,HRV,Croatia,2010,All,Age_all,[All],1594.00000000,3.05973587,16.67544728,36.08146262,
EU,Europe,HRV,Croatia,2011,All,Age_all,[All],1700.00000000,3.33209197,17.51793280,38.61189773,
EU,Europe,HRV,Croatia,2012,All,Age_all,[All],1805.00000000,3.49062077,18.18743768,42.29585163,
EU,Europe,HRV,Croatia,2013,All,Age_all,[All],1806.00000000,3.58432898,17.77943343,42.43731156,
EU,Europe,HRV,Croatia,2014,All,Age_all,[All],1817.00000000,3.57402781,17.33529380,42.87006219,
EU,Europe,CZE,Czechia,1990,All,Age_all,[All],3353.00000000,2.59588437,22.89605367,32.35611997,
EU,Europe,CZE,Czechia,1991,All,Age_all,[All],2895.00000000,2.32923003,19.53331869,28.08307546,
EU,Europe,CZE,Czechia,1992,All,Age_all,[All],2723.00000000,2.26281194,18.30284055,26.39128496,
EU,Europe,CZE,Czechia,1993,All,Age_all,[All],2647.00000000,2.23970893,17.64288502,25.62265868,
EU,Europe,CZE,Czechia,1994,All,Age_all,[All],2165.00000000,1.84454687,14.32265263,20.94580213,
EU,Europe,CZE,Czechia,1995,All,Age_all,[All],1801.00000000,1.52739732,11.88533322,17.43330623,
EU,Europe,CZE,Czechia,1996,All,Age_all,[All],1477.00000000,1.30960614,9.67499858,14.31839774,
EU,Europe,CZE,Czechia,1997,All,Age_all,[All],1601.00000000,1.42003122,10.47537071,15.53825847,
EU,Europe,CZE,Czechia,1998,All,Age_all,[All],1897.00000000,1.73199302,12.14408398,18.42642059,
EU,Europe,CZE,Czechia,1999,All,Age_all,[All],2014.00000000,1.83477881,12.59247892,19.58613543,
EU,Europe,CZE,Czechia,2000,All,Age_all,[All],2245.00000000,2.05961413,13.81884802,21.85445942,
EU,Europe,CZE,Czechia,2001,All,Age_all,[All],2217.00000000,2.05744513,13.51282832,21.55046298,
EU,Europe,CZE,Czechia,2002,All,Age_all,[All],2230.00000000,2.06017941,13.57227248,21.86108623,
EU,Europe,CZE,Czechia,2003,All,Age_all,[All],2398.00000000,2.15476961,14.30950690,23.50599918,
EU,Europe,CZE,Czechia,2004,All,Age_all,[All],2282.00000000,2.12918817,13.30687475,22.35737450,
EU,Europe,CZE,Czechia,2005,All,Age_all,[All],2894.00000000,2.68116882,16.45954002,28.27803385,
EU,Europe,CZE,Czechia,2006,All,Age_all,[All],2518.00000000,2.41093057,13.94012043,24.52602340,
EU,Europe,CZE,Czechia,2007,All,Age_all,[All],2740.00000000,2.61860163,14.88330523,26.54347138,
EU,Europe,CZE,Czechia,2008,All,Age_all,[All],2722.00000000,2.59366543,14.47983618,26.09856552,
EU,Europe,CZE,Czechia,2009,All,Age_all,[All],2935.00000000,2.73224044,15.32822551,27.97504874,
EU,Europe,CZE,Czechia,2010,All,Age_all,[All],2684.00000000,2.51207368,13.61422965,25.51998636,
EU,Europe,CZE,Czechia,2011,All,Age_all,[All],3153.00000000,2.95092093,15.56619702,30.03809207,
EU,Europe,CZE,Czechia,2012,All,Age_all,[All],3209.00000000,2.96610561,15.33114531,30.53490028,
EU,Europe,CZE,Czechia,2013,All,Age_all,[All],4171.00000000,3.82099670,19.41891505,39.68329855,
