Indicator Code: CG0810
"Indicator Name: Neuropsychiatric conditions"
Export date: 5/11/2024 11:05:29 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: F01-F99, G06-G98 (minus G14), U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BGR,Bulgaria,2004,All,Age_all,[All],872.00000000,0.79193534,7.84647977,11.20655388,
EU,Europe,BGR,Bulgaria,2005,All,Age_all,[All],984.00000000,0.86792386,8.44796042,12.71334255,
EU,Europe,BGR,Bulgaria,2006,All,Age_all,[All],967.00000000,0.85244803,8.47596401,12.56004011,
EU,Europe,BGR,Bulgaria,2007,All,Age_all,[All],1060.00000000,0.93801989,8.83647084,13.83854646,
EU,Europe,BGR,Bulgaria,2008,All,Age_all,[All],1141.00000000,1.03236430,9.48970783,14.96708488,
EU,Europe,BGR,Bulgaria,2009,All,Age_all,[All],1044.00000000,0.96605841,8.43907781,13.76377020,
EU,Europe,BGR,Bulgaria,2010,All,Age_all,[All],1065.00000000,0.96673172,8.84820199,14.13537495,
EU,Europe,BGR,Bulgaria,2011,All,Age_all,[All],1068.00000000,0.98653217,7.96826110,14.40120517,
EU,Europe,BGR,Bulgaria,2012,All,Age_all,[All],1194.00000000,1.09259615,9.28802947,16.34298254,
EU,Europe,BGR,Bulgaria,2013,All,Age_all,[All],1044.00000000,1.00052710,8.28772634,14.37004094,
EU,Europe,BGR,Bulgaria,2014,All,Age_all,[All],1128.00000000,1.03531831,8.49395685,15.61475304,
EU,Europe,HRV,Croatia,1990,All,Age_all,[All],679.00000000,1.30096567,11.67810485,14.21096693,
EU,Europe,HRV,Croatia,1991,All,Age_all,[All],676.00000000,1.23285673,11.63532018,14.12423476,
EU,Europe,HRV,Croatia,1992,All,Age_all,[All],550.00000000,1.06177606,9.45254462,11.50098281,
EU,Europe,HRV,Croatia,1993,All,Age_all,[All],504.00000000,0.99122842,8.54095372,10.54680143,
EU,Europe,HRV,Croatia,1994,All,Age_all,[All],717.00000000,1.44901176,11.96935357,15.00942014,
EU,Europe,HRV,Croatia,1995,All,Age_all,[All],938.00000000,1.85610258,14.83636738,19.63986600,
EU,Europe,HRV,Croatia,1996,All,Age_all,[All],895.00000000,1.76751718,15.37986862,19.91721560,
EU,Europe,HRV,Croatia,1997,All,Age_all,[All],865.00000000,1.66461396,14.76597437,18.91785496,
EU,Europe,HRV,Croatia,1998,All,Age_all,[All],934.00000000,1.78547533,16.31096752,20.75002222,
EU,Europe,HRV,Croatia,1999,All,Age_all,[All],1023.00000000,1.96908744,17.38541658,22.46475471,
EU,Europe,HRV,Croatia,2000,All,Age_all,[All],1085.00000000,2.15937587,18.60584833,24.76377414,
EU,Europe,HRV,Croatia,2001,All,Age_all,[All],1076.00000000,2.17145625,16.83259583,24.24810590,
EU,Europe,HRV,Croatia,2002,All,Age_all,[All],947.00000000,1.87268880,14.31442972,21.31346777,
EU,Europe,HRV,Croatia,2003,All,Age_all,[All],916.00000000,1.74227294,13.86997483,20.62227025,
EU,Europe,HRV,Croatia,2004,All,Age_all,[All],1110.00000000,2.23088673,16.16046774,25.00337884,
EU,Europe,HRV,Croatia,2005,All,Age_all,[All],1307.00000000,2.52365321,18.62284475,29.42404072,
EU,Europe,HRV,Croatia,2006,All,Age_all,[All],1394.00000000,2.76708087,19.04102442,31.39624083,
EU,Europe,HRV,Croatia,2007,All,Age_all,[All],1624.00000000,3.10118968,21.70973833,36.60970671,
EU,Europe,HRV,Croatia,2008,All,Age_all,[All],1627.00000000,3.11978677,21.41952974,36.68952678,
EU,Europe,HRV,Croatia,2009,All,Age_all,[All],1678.00000000,3.20143473,21.51126904,37.88598891,
EU,Europe,HRV,Croatia,2010,All,Age_all,[All],1868.00000000,3.58568796,22.97364428,42.28367137,
EU,Europe,HRV,Croatia,2011,All,Age_all,[All],1974.00000000,3.86914679,23.81087350,44.83522713,
EU,Europe,HRV,Croatia,2012,All,Age_all,[All],2176.00000000,4.20808354,25.58926672,50.98934801,
EU,Europe,HRV,Croatia,2013,All,Age_all,[All],2067.00000000,4.10233001,23.22991319,48.57027851,
EU,Europe,HRV,Croatia,2014,All,Age_all,[All],2116.00000000,4.16215897,23.18749619,49.92462938,
EU,Europe,CZE,Czechia,1990,All,Age_all,[All],1231.00000000,0.95303718,10.15809848,11.87902883,
EU,Europe,CZE,Czechia,1991,All,Age_all,[All],1154.00000000,0.92847373,9.52229531,11.19442801,
EU,Europe,CZE,Czechia,1992,All,Age_all,[All],990.00000000,0.82268961,8.34012291,9.59506872,
EU,Europe,CZE,Czechia,1993,All,Age_all,[All],1018.00000000,0.86136142,8.33410681,9.85412412,
EU,Europe,CZE,Czechia,1994,All,Age_all,[All],1143.00000000,0.97381851,8.93561494,11.05822256,
EU,Europe,CZE,Czechia,1995,All,Age_all,[All],1248.00000000,1.05840747,9.82413008,12.08038100,
EU,Europe,CZE,Czechia,1996,All,Age_all,[All],1250.00000000,1.10833289,9.80299829,12.11780445,
EU,Europe,CZE,Czechia,1997,All,Age_all,[All],1399.00000000,1.24086426,10.80277814,13.57777864,
EU,Europe,CZE,Czechia,1998,All,Age_all,[All],1420.00000000,1.29648397,10.69913404,13.79310345,
EU,Europe,CZE,Czechia,1999,All,Age_all,[All],1465.00000000,1.33463304,10.78618850,14.24711440,
EU,Europe,CZE,Czechia,2000,All,Age_all,[All],1666.00000000,1.52842634,11.82582258,16.21805319,
EU,Europe,CZE,Czechia,2001,All,Age_all,[All],1902.00000000,1.76511531,13.34906176,18.48848921,
EU,Europe,CZE,Czechia,2002,All,Age_all,[All],2059.00000000,1.90220153,14.38704104,20.18474284,
EU,Europe,CZE,Czechia,2003,All,Age_all,[All],2343.00000000,2.10534829,16.02179640,22.96687076,
EU,Europe,CZE,Czechia,2004,All,Age_all,[All],2306.00000000,2.15158103,15.27487319,22.59250903,
EU,Europe,CZE,Czechia,2005,All,Age_all,[All],2504.00000000,2.31985028,16.40410583,24.46724145,
EU,Europe,CZE,Czechia,2006,All,Age_all,[All],2377.00000000,2.27592612,14.99927456,23.15264401,
EU,Europe,CZE,Czechia,2007,All,Age_all,[All],1589.00000000,1.51859781,10.30833231,15.39327592,
EU,Europe,CZE,Czechia,2008,All,Age_all,[All],1655.00000000,1.57697145,10.41617074,15.86815795,
EU,Europe,CZE,Czechia,2009,All,Age_all,[All],1443.00000000,1.34331276,9.25682888,13.75400181,
